runoff_coeff,soil_capacity,et_factor,quick_recession,base_recession
1.4334556037851636,3.101427106117831,3.0534527925097845,2.722277773173958,1.7442609520839039
1.500320330257921,2.672995739493485,2.082759703013978,2.6483807839483826,1.6874766849183107
,59.47005309709065,0.12252140545411179,,
,9.832681874254309,10.40709744061224,3.2231416993914688,8.46843861531585
6.422734933758756,9.780449393464,2.5653614452381666,3.1489116688075898,8.301735757400671
3.544247848498753,8.312058168656355,3.0836842345541604,3.1009673569532925,6.5112197082203735
3.158026983743353,2.9549863008910133,2.1414500151621874,4.101428640789887,6.190679471732911
2.597094828208841,2.447991417858826,2.0987425064923464,1.8780496663237198,5.785771269602049
3.0788892344085808,2.331644637376594,1.8589062192389394,1.6920832270778698,2.67758985304007
3.158079701778113,2.4379009792296698,1.8925556145608529,1.7300911821667775,2.4173337114720055
3.835375583661853,2.629861677832739,1.9456802343343278,1.7453013916954825,2.4236957403733195
3.594597278345211,2.702665874915185,2.009833905195044,1.7048564722426547,2.5043112683768736
4.165177500814276,3.3370299034071187,2.290104346106458,1.9136891476683793,2.339075684357825
3.751329844851596,3.406480417579868,2.3660348335139094,1.934694591146422,2.048206891956636
3.8738346843808977,3.777772442309283,2.807937870393636,2.696527314982934,2.0069000330413167
3.2680776414858372,3.8898510158009945,2.291973945355124,2.4624259556818062,1.9417756372495596
3.1441782994911742,4.352376324658999,2.354970319721148,2.2978647682348963,2.0623111011380093
2.968669885027386,4.321121988692029,2.184024039520168,2.193423513026701,2.0385492686783073
2.765324252977224,4.472458900179391,2.092793304865006,2.176936580098036,2.0733049789431877
